date,stars,text
"Mar 19, 2021",3.5,"A slight step down from the previous Star Wars film but it's still worth viewing at least once. This is the digital Star Wars movie and perfectly expresses just how far ahead of his time George Lucas was because frankly the technology wasn't there for what they needed for so much of this movie. Hayden Christensen's performance has been criticized but I have 2 key things that you've probably never realized before that totally fix his performance: it's not his fault if it's bad, it's George Lucas's directing because it's his vision of Anakin Skywalker. But then again have you ever considered that Anakin is a 19 year old hormonal teenager with NO romantic experience with women? That solves pretty much the whole problem with him. Yes it's cringy but it does make sense. Pretty much the whole 3rd act of this movie is and forever will be an absolute blast and you shouldn't skip this movie on your Skywalker Saga binge watch because it's a lot more critical than you realize."
"Mar 19, 2021",4,"There is room for improvement, but I'm satisfied with Attack Of The Clones. A pretty solid plot and some great thrills make this a nice star wars flick in my opinion."
"Mar 19, 2021",5,"An underrated film with unique characters , great music scores , and a continuation of the Phantom Menace .This movie starts the setup of Anakin's fall to the dark side. We also see some great CGI scenes and also things we've never seen before. Like all the Jedi coming together in a battle and the romance between Anakin and Padme combined with one of the best music scores in Star Wars."
"Mar 19, 2021",4,Fantastic second entry in the PT
"Mar 15, 2021",4,"Desde mi punto de vista es la peor de Star Wars, pero eso no implica que tenga una mala historia."
"Mar 15, 2021",1,"Garbage movie where they decided to slaughter Anakin's character and make him a gay guy with gay voice lines. ""I hate sand"" what a joke. Fight scenes were alright tho."
"Mar 14, 2021",2,The worst Star Wars film.
"Feb 26, 2021",3,I didn't like this movie as much as the other ones either. I didn't like the way that the directors executed the story but I think it could've been better.
"Feb 25, 2021",2,Nothing more than a long lovestory with a huge battle at the end to try and redeem it. Nothing more needs to be said and don't try and defend it
"Feb 24, 2021",2.5,"O PIOR FILME DE STAR WARS QUE É A MAIOR SAGA DA HISTÓRIA PELO MENOS PARA MIM, E A MINHA FAVORITA."
"Feb 23, 2021",5,"Just, simply perfect..."
"Feb 23, 2021",3.5,"While Episode II seems to wander from the story it needs to get to the point of, it ultimately serves as a thrilling - and sometimes touching - middle movie."
"Feb 22, 2021",3.5,"I know that it is not the best Star Wars Movie but there a some scense and Charcters that i just like to much to give this moive a bad review. And after all its the introduction of the Clone Wars, which also introduces the awesome series ""Star Wars: The Clone Wars"""
"Feb 21, 2021",4.5,"This is a Star Wars movie to remember! Fun, great story, character development, plot twists, and the action is fantastic."
"Feb 20, 2021",4.5,"A much better film than the phantom menace, that may be an unpopular opinion, but its mine and I'll explain. I have only 2 flaws with the movie the love scenes and the actor who played young boba fett. By god the love scenes were pretty bad, not awful, but really bad, the actor who played young boba fett daniel loga, could not act and was suprisingly even worse than Jake lloyd. But the good stuff in my opinion, is great. The best thing(s) in this movie are Ewan Mcgregor's performance, Jango fett &amp; the humor. Ewan mcgregors performance is weakest here in the franchise, but still delivers a great performance, its subtle calm and would be what I think a young obi wan would  talk, look and sound like. The humor is best here in the star wars franchise, there is a scene where obi wan gets a drink and a person tries to sell him jedi drugs and he uses his jedi mind tricks to tell him to go home and rethink his life. And Jango fett is one of my absoloute favortie star wars characters. He's a much better character than boba fett, because, he has actual character, he's tough, convincing he looks really cool he can fight well and take out as many people as possible. Hayden christensen cant deliver dialouge too well, but can really act and look like a young darth vader, they give him flaws in this one, which makes it much better, because he is no longer a perfect character and now he seems more like a character. Natalie portman does a good job as padme for the most part. the dialouge, not counting the love scenes, are good and much better than the phantom menace. This one also has less jar jar and the cgi still looks good especially with all the clones and the battle with them is great. I love the character of count dooku and christopher lee once again brings a great performance. The character, while no the best, is not the worst either. I do think the scene where yoda is fighting dooku gets a lot of flack just, beacsue its yoda with a lightsaber, but whats overlooked is that dooku knows that both of them have too much power with the force and they have to batle qith a lightsaber to determine who is the more skilled and well trained. The score is again great, with the beautiful love theme is another one of John Williams best. Attack of the clones 87% A-"
"Feb 18, 2021",1.5,Palpatine's plane is based on luck.Anakin Skywalker is a mad men.This movie isn't fun to watch.Don't make this your first time watching Star Wars
"Feb 15, 2021",5,"Has one of the most epic moments in modern cinematic history, when Anakin is racing through the desert on his speeder looking for his Mother I get chills every time. Definitely one of the best Star Wars movies ever made! This film fixes all the errors of the previous film and improves what the previous movie did right in every way."
"Feb 07, 2021",5,"Yeah, this is awesome."
"Feb 02, 2021",3,"Better than 'Star Wars: Episode I – The Phantom Menace', though 'Star Wars: Episode II – Attack of the Clones' is again rather underwhelming - if still good on its own merits.

Liam Neeson is missed, with the likes of Ewan McGregor, Natalie Portman, Hayden Christensen and Christopher Lee failing to set the world alight. McGregor does give the best performance of that quartet; Christensen possibly the weakest, though his character's story is probably the most interesting - or its overall arc, at least.

Those onscreen aren't helped by the dialogue, which is very basic and run-of-the-mill. I found the score a little forgettable, even if it's still fun to hear the key pieces of it. The plot is watchable, but I did expect greater storytelling from these two follow-up releases to the original trilogy. The CGI is, marginally, an improvement on this film's predecessor."
"Jan 30, 2021",2,"Star Wars: Episode II - Attack of the Clones is a bad movie. The best parts of this movie are easily the music,  Ian McDiarmid as The Emperor, Ewan McGregor as Obi-Wan Kenobi and of course, Sir Christopher Lee as Count Dooku otherwise known as Darth Tyranus. Other than that this movie is not good, the plot is somewhat passable, the performances are even worse than before (especially with Padme), the dialogue is atrocious and the CGI, while better than the CGI in TPM is beginning to age. Still better than the previous movie though."
"Jan 28, 2021",2,latarki świetlne włączone ale wszystko jakoś bez polotu
"Jan 28, 2021",3,Mixed feelings I have on this movie. It’s not bad but can be very slow for big chunks and the dialog is sub-par at best. Way too much CGI which hasn’t aged particularly well. 
"Jan 26, 2021",4,"Terrible  dialogue, but the amazing action and the great villain of Count Dooku makes it justice"
"Jan 23, 2021",3,"George Lucas is very talented, but OH GOD, he is not fit to write romance. This is what ultimately drags down this movie. The cringe dialogue, the overuse of CGI- it's all in there. A lot. This movie was disappointing, it could've been better, and it is a downgrade from The Phantom Menace. But it's not a terrible movie, it's not a good movie (by any means!), and I would go as far to say it's more bad than OK. But at least it's not Disney Star Wars bad."
"Jan 22, 2021",3.5,Some of the most incredibly awkward dialogue in any movie I've ever seen. The light saber battle at the end was epically bad. Which was disappointing considering how amazing the darth maul fight in TPM was.
"Jan 21, 2021",4,"Episode II starts off a bit slow. There's only one major action scene in the first hour, Anakin and Obi Wan chasing the assassin. I wasn't particularly excited about that scene. It was ok. I'm sure 20 years ago it would have seemed much more impressive. But now it's 2021 and I've seen a lot of impressive chase scenes. It still holds up, though. It's not the fault of the movie. So after around an hour, we get a pretty cool action scene where Obi Wan and the bounty hunter are fighting. That was nice.

I had a big problem with the scene when Anakin's mother dies and the scenes that follow up. So, Anakin finds his mother, she was severely tortured and wounded, she tries to tell him she loves him, but she's too weak and on the verge of death. Anakin tells her to stay with him. So far it's very emotional and effective. I'm really sad. Anakin is sad. She eventually dies, then the music gets louder, we see Anakin's face, he's very, very angry. I am also angry. We hear the lightsaber turn on, then he strikes down two sand people. Another sand person charges toward him and he strikes him down, too, it's very intense, and then... the tension dies down a bit. Then Yoda tells us about the anger and suffering Anakin is feeling. Um, ok. And then we see the massacre, right? Nope. We get a random scene from another plotpoint. WHAT THE FUCK?! That completely ruined all the build-up. It destroyed all the tension and the emotion. I can't believe  they did that. Why did they do that?  Then we get the scene with him coming back at the house carrying his mother's corpse. We see and feel his anger. Then there is the scene where he's talking with Padme. He cries because he believes it's his fault. He thinks that if he were stronger, he could have saved her. Again, it's effective and emotional. But I really wish we saw the massacre. And no, I'm not some psycho who wants to see sand children get murdered. But show us SOMETHING. At least show us how he's destroying their sand igloos with the Force push ability or something. Show us how Anakin reacts and how he unleashes his powers on the sand people. Shows us more than two fucking seconds. This paragraph was more of a rant than a review.

So we get about two action scenes in one hour and a half. That's pretty bad. Then we finally get an action scene at the droid factory. Then we get the epic action scene at the end with a lot of fighting. That was satisfying. Anakin dual-wielding lightsabers to fight count Dooku was very badass. And Anakin getting his arm cut was shocking. The internet had spoiled that scene for me (among many other), but I totally forgot about it. 

Episode II has a bit of a pacing issue. There's barely any action in the first half. And I really hated that they messed up the Anakin rampage scene. But other than that, I did feel emotion. As I said, the scenes were effective. I loved the huge action sequence at end. All in all, I think compared to Episode I, Episode II has higher and lower points, while Episode I is more consistent and moderate. Episode I was a more enjoyable experience for me."
"Jan 19, 2021",2.5,"Not that good, a lot of stupid scenes with Padme and Anakin, but the lightsaber battles were pretty cool."
"Jan 13, 2021",2,"Attack of the Clones suffers in almost every element you can think of. The writing is bad, the acting is just OK with Ewan McGregor and Christopher Lee being the only notable ones, as well as a hard to watch love sequence that should go down as one of the worst in cinema history. Even as a kid, this was my least favorite of the trilogy, to the point where I could not even remember what the climax was. Episodes 1 and 3 are far better. This movie has some entertaining battles, but that's really all it has going for it. Grade 63% (D)"
"Jan 12, 2021",3.5,"Although this movie is riddled with bad dialogue and cringe scenes overall the story that this movie offers is great. It is a great build up of a relationship between Anakin and Padmé but even I couldn't stop cringing whenever them two had a scene together in the middle portion of the movie. However, the ending of this movie is amazing, it has a great battle filled with Star Wars magic and I felt like a little kid again watching it."
"Jan 12, 2021",1.5,Aged very very bad and has the worst Love story in cinema history
"Jan 11, 2021",3,"As opiniões dos fãs são mistas, contudo eu acho que é um filme bacana. Peca em trabalhar com arcos muito massantes e desnecessários para a trama. As batalhas e lutas com sabre de luz são o ponto mais alto do filme apesar de efeitos especiais muitas vezes questionáveis. Esse Episódio II não melhorou muito em relação ao primeiro mas consegue ainda se redimir com personagens legais (Obi-Wan, Conde Dookan) e a incrível batalha de Geonosis!"
"Jan 06, 2021",3,"Definitely better than Episode I... unfortunately, it's not by a big difference. It has some similarities with the previous film, actually. Most parts are boring, it is kind-of slow, the characters seem a little bit empty... However, I would say that this one is barely, BARELY fresh. It has some better moments than the other movie. I enjoyed the action sequences and the ending. I mean, not as good as other Star Wars films, but still, not completely horrible, it passed the time."
"Jan 01, 2021",2,"Definitely the worse movie in the prequel trilogy, boring, uninteresting, acting is mediocre, and very unbalanced when it comes to storytelling.

The lightsaber duels were the most interesting parts of the film, including the epic fight marking the beginning of the Clone Wars.

My grade: D+"
"Dec 31, 2020",3,"3 bags so when you think about it, this movie is kinda like an origin for the show ""The Mando."" So why is that show so much better? Here's the problem we realized with this movie: it gets better AFTER it has been boooooooring and it's tough to captivate the audience when you've given them a lame snooze fest and tried to get Portman to act like she was into Christensen, he's just not her type you see. Haven't you seen Thor? She likes dudes with muscles. H.C. was more of a mean and lean machine (piers for next movie)!!!!! Ya get it b/c Vader becomes part Robot and burns off tons of fat with the help of a volcano and Ewan McGregor choreography so yeah there ya go"
"Dec 30, 2020",1.5,The worst Star Wars movie to date
"Dec 28, 2020",2,This movie suffers from the same problems as the Phantom Menace. But additional action and some weighty scenes (although few and far between) make it superior to episode 1.
"Dec 27, 2020",3.5,"It has it's flaws, but it isn't as bad as most people say it is (I'm looking at you, mr plinkett) the action is cool and some of the sfx are decent. Yeah, the romance could've been better, but if you don't try to overanalyze this, you'll enjoy it."
"Dec 27, 2020",5,"I thought it was a great movie. 

Hayden nailed his part in such a complex character showing so many conflicting emotions and seeds of the dark side. The parts with Anakin's mother is so good. 

I also thought Hayden and Natalie had great chemistry all things considered and you really rooted for them. Any problems people had between Anakin and Padme was the dialogue which wasn't even that big of a deal. Ewan, as obi won, was awesome you get to see Jango Fett and boba fett and what led to the clone wars. Anakin's scenes with his mom are chilling showing his first steps in the dark side and Hayden performed that very well. I also thought the end battle was sick. The fights in Geonosis is literally breathtaking showing all the Jedi fighting together."
"Dec 26, 2020",5,After the pod racing the Clone Wars begin with tons of droids getting gunned or sliced with no end in sight. Amazing movie.
"Dec 25, 2020",2,"Always when I am watching SW, this is the Film I do not remember 😅"
"Dec 25, 2020",5,"This movie is a marvelous cog in a grand machine; the perfect build-up to the plan unraveling. The characters are dynamic, realistic, and all go together excellently, with stellar execution of the unfolding scheme in the background, and the internal pain of a protagonist in a confusing and harsh world. This movie is a true masterpiece, and few creations of any medium have surpassed its quality."
"Dec 24, 2020",4,"Very enjoyable Star Wars film. Some of the dialogue is a bit stilted at times but some great lines, enjoyable action scenes, and overall fun film you can watch again and again."
"Dec 22, 2020",2,"The greats are rarely as great as they are talked up to be and the bad are never usually as bad as expected, which was again the case for me here. I'm also definitely not a big Star Wars fan so my sensitivities are far less likely to be offended. This also wasnt good and definitely had trouble getting me to become fully absorbed and while I try to refrain from negativity, especially with regard to individuals, there was one performance I just really didn't care for here..."
"Dec 22, 2020",4,"A masterful symphony of love and loss, immense cosmic power and tragic human weakness. A sensational film that manages to be both tender and explosive. This movie simultaneously feels timeless and ahead of its time. The action is topped only by its depth of story. The world it creates feels both overwhelming and intimate. A flawless musical score decorates the most powerful forbidden romance in modern cinema as well as large scale battle and action. A spellbinding experience from start to finish."
"Dec 19, 2020",2.5,"Despite the cringeworthy attempt at romance, Attack of the Clones provides enough action and depth to surpass its predecessor in entertainment value. Whether that is a compliment or not is up for you to decide."
"Dec 18, 2020",1.5,"While I find Attack of the Clones to be the most boring Star Wars movie, I can't say that it is the absolute worst. The story and characters still don't make any sense whatsoever, but it at least feels a bit more stepped up with its ideas as a sequel than The Phantom Menace."
"Dec 17, 2020",3.5,"Was much better than the Phantom Menace and rewards fans who were attached to the classic characters.   Special effects were great,  but the romance dragged on the movie a bit."
"Dec 15, 2020",5,"Una gran historia de guerra y amor, con algunos planos detectivescos y misteriosos. Muy buena para los fans"
"Dec 09, 2020",3,"I'll start with a good. The movie does a great job setting the seeds for Anakin‘s fall towards evil. Some of the characters and worlds introduced are extremely creative and the arena portion was phenomenal. Count Dooku was a great villain and believably kicked the heroes butts. Here is what I think everyone disliked. The movie was extremely slow and some of the acting, or should I say dialogue, was too cheesy. The light saber duel at the end was poorly choreographed and edited, some parts just looked like actors waving around toys. Overall it was a decent middle to this trilogy with many parts that could have been much better."
"Dec 08, 2020",4.5,Under-appreciated movie with an excellent storyline
"Dec 07, 2020",2,"Achei as cenas entre o Luke e a Padmé bem desnecessárias e diria até vergonhosas, retira toda a atenção do resto dos acontecimentos. O filme é bem tosco."
"Dec 07, 2020",2,The lowest of the low for the prequel trilogy. Christensen's acting dragged what could have been a good movie down. The movie was more of a set up film than a solid film that happens to set up the conclusion of the trilogy.
"Dec 04, 2020",5,great film and much better than tlj
"Dec 03, 2020",2,"very forgettable film, for me it is as bad as its predecessor."
"Nov 28, 2020",1.5,"Probably the Worst Star Wars Movie. This movie gets so boring. With a cringe love story and already really dated CGI, this movie is a disaster beyond repair."
"Nov 28, 2020",3.5,"Fans: 'we were beginning to wonder if you had got our message?'
RickMcCallum: 'I retransmitted it just as you had all requested'.
George Lucas: 'Then I decided to make Episode II!'
The second prequel. 
It seems people either like or dislike this film and there is less a middle ground view to take with it when compared with Menace or Sith.
I like this film and I say that in view of the fact this was my first Star Wars film at the big screening 2002. Absolutely it has problems and it is not as good as any of the Star Wars, Empire or Sith but IMO it improves on Menace purely as a more well paced film with a number of brilliant set piece action scenes spaced well throughout the film very, and climaxing with the very well executed third act."
"Nov 25, 2020",2.5,"Another miss by George Lucas after the debacle that was The Phantom Menace. Once again the overuse of CGI, dreadful dialogue and average acting lead to a rough second movie of the Prequels"
"Nov 13, 2020",4,Such great cast and a great movie love this one 
"Nov 13, 2020",1,"Star Wars Attack of the Clones is the worst Star Wars movie I've ever seen. It's worse than The Last Jedi and I'd rather eat a rotten tomato than watch that. Good things first. Hayden does an amazing job as Anakin always has and always will. The opening is fun and energetic and Dexter Jetster love that man, Wanna buy some death sticks. Now onto the bad. Obi-Wan is stupid, clones made from a bounty hunter Dooku hired. NOTHING SEEMS WRONG THERE. The CGI mess of the droid factory, Yoda being a general. no no nononon. Hate it please burn."
"Nov 12, 2020",3.5,"As I've said with the Phantom Menace: amazing special effects, wicked battle scenes and some fantastic plot elements redeem the otherwise incredibly dull dialogue and intergalactic stupidity.

Plus, this was the beginning of Anakin's soap-oper-Imean, fall to the Dark Side, ahem.

There's a reason Hayden Christensen vanished off the face of the Earth faster than a fart in the wind."
"Nov 12, 2020",0.5,The sequel trilogy is way better 👶🏻👶🏻👶🏻👶🏻👶🏻👶🏻🍼🍼🍼🍼🍼🍼🍼 there there prequel fans there there.
"Oct 31, 2020",3.5,"The 2nd installment in the prequels moves very slowly. All in all, this movie could arguably the worst of the prequels. It does one thing well, and that is advance the character of Anakin Skywalker. The ending to this movie is also insanely good, saving it from 2 stars or so. A must watch for any star wars fan, but casuals can read the cliff notes."
"Oct 26, 2020",5,Super underrated and awesome
"Oct 22, 2020",3.5,"Clone wars learned to a certain extent from its predecessor, emphasis on ‘to a certain extent'. You still got to appreciate George Lucas's ability think up awesome ideas like the clones."
"Oct 21, 2020",2,Boring. ATTACK OF THE CLONES focuses on all the wrong things.
"Oct 15, 2020",4,"One of my favorite ones, I don't know how this gets so much hate!  Almost non stop action, check, new bounty hunter, check, awesome worlds, check, super awesome chase scene, check, seeing Yoda fight for the first time and someone wield 2 lightsabers like in the video games, check!  LOVE THIS ONE"
"Oct 11, 2020",4.5,"This is a very flawed movie, but it makes the Star Wars galaxy so much larger and has some incredible moments, set pieces, and foreshadowing. Also, Yoda vs. Christopher Lee in a lightsaber fight? It's so awesome."
"Oct 11, 2020",3,"Attack of the Clones has many interesting scenes and a well-rounded and satisfying conclusion. Unfortunately, it still suffers from some of the issues of its predecessor movie with chunky dialogue, an underwhelming plot at times, and almost unnatural romance between the key relationship of Star Wars."
"Oct 10, 2020",2,"My brother is disappointed that I dislike it so much, but my opinion isn't influenced by others. The end fight scene is pretty fun, but the rest of the movie is just simply not good. Not only is it a letdown based on the original trilogy, but as a movie itself, it's just bad."
"Oct 07, 2020",1.5,"This is by far the worst Star Wars movie ever made, and has aged the worst. Terrible performances all the way around. The script must've been written by 18 year old Star Wars fans that listen to emo music."
"Oct 06, 2020",2.5,"Poor execution, overuse of CGI, and awful dialogue, but very rich in story and setting up future events."
"Oct 05, 2020",0.5,that is twash only memes
"Oct 01, 2020",4,"I thought it was amazing, absolutely great!!!!"
"Sep 28, 2020",2,"Muito fraco.

Dificilmente um filme me deixa com sono, mas esse aqui se esforçou e muito. Pra um filme com foto no publico infantil e adolescente, foca-se muito em assuntos políticos mal desenvolvidos, que são principalmente péssimas pois essas discussões muitas vezes integram personagens desinteressantes, o que torna o filme arrastado. O desenvolvimento do Anakin soou forçado e exagerado, assim como seu romance com a princesa. As cenas de ação padecem de criatividade - CGI atirando no nada não conta. As baralhas Jedi não foram de todo mal, mas não chamam tanta atenção quanto no filme anterior.

Enfim, cada vez mais Star Wars parece overrated.

Audio: English, with portuguese subtitles. Q60T 50' TV Speakers [Dolby 5.1]
Quality: 4K HDR [Bluray]"
"Sep 16, 2020",2,"Attack of the Clones' awkward plot mashes together puzzle pieces that simply do not fit, and the forbidden romantics' antics are so messy and poorly written that the characters are left lagging in a movie that does its best, but still falls flat on its face."
"Sep 15, 2020",2.5,Better than last movie but not great
"Sep 12, 2020",2,"Has all the same flaws as the last one, not a great time."
"Sep 08, 2020",4.5,"If you pause the movie at any point, you can find meme content. If you pause the deleted scenes at any moment, you can also find meme content. This movie is a masterpiece not because it is better that the Disney Sequels, but because it will forever be in our hearts as the biggest Star Wars meme ever to show in theaters."
"Sep 04, 2020",0.5,"To be honest, what is there to say that hasn't already been said. This movie just fails at so many levels of filmmaking. It's not fun to watch, especially any scene with Anakin and Padme, the dialogue is terrible, the effects are pretty bad and it's incredibly boring. It also has the worst lightsaber fight in the entire series at the end. Many people will say that the Clone Wars TV show makes this movie better. I would disagree because it doesn't change any of the main problems with the movie. It just makes some things more understandable and gives more context to the events. If you want to watch it, go ahead, but temper your expectations accordingly."
"Sep 01, 2020",3.5,"I don't really care too much for the Anakin and Padme romance scenes (which are completely necessary but could've been done better), but I like the rest of it. Even if you hate the first two acts of the movie (which I don't), I think the third act is awesome enough to give the movie a positive review."
"Aug 31, 2020",3.5,Anakin take your hands off Padme.
"Aug 30, 2020",4.5,I will say this movie is a good star wars movie
"Aug 30, 2020",4.5,"Another action packed adventure. Hayden's performance is fine, he portrays anakin perfectly."
"Aug 29, 2020",3,Better than that new crap.
"Aug 26, 2020",3,"Just like ""Star Wars: Episode I - The Phantom Menace"", I didn't mind this sequel, but the worst part of this movie was Anakin Skywalker because his acting was not very good in my opinion. This film does have some good effects."
"Aug 25, 2020",3.5,"After Star Wars: The Phantom Menace, this film represents a significant improvement in every department, from plot to character and even in computer-generated special effects."
"Aug 17, 2020",3,A hot mess filled with outrageous CGI.
"Aug 14, 2020",4,"Not a perfect movie by a long shot, but between it's entertaining action scenes, solid development for Anakin's path to the dark side, and Ewan as Kenobi: most of the problems with this movie fall to the wayside for me."
"Aug 11, 2020",2,"I mean, it's a tiny bit better than The Phantom Menace, but it still has all of the same problems. It still had terrible acting, directing, writing, and a messy and confusing plot. But this one also has the worst romance I have ever seen. George Lucas really does not know how to write romances. The only reason why I think that this is a slightly bit better than Episode I is because the plot is conveyed in a way that is easier to follow with than The Phantom Menace. And I also thought that the fight between Obi-Wan and Jango Fett was cool. But other that that, this movie did not even try to be better than Episode I. It's just as boring and just as bad."
"Aug 05, 2020",3,"I think I liked this less upon a second viewing than I did when I first saw Attack of the Clones.  There is lots of visual eye candy here, fairly decent action scenes.  The film is a set up of what we all know has to happen to Darth Vadar, and some of the build up and introduction of characters is interesting (Death Star plans, Owen and Beru, the Fetts, etc).  
But this film has two really fatal flaws:
1) The execution of the plot is garbage.  I see what they were going for - a manufactured false flag rebellion to gin up support for a power grab.  THAT part is actually interesting and prescient.  But the implementation is just junk, with random characters appearing and disappearing and not seeming to know what side they are on.  Even the Jedi council seems completely clueless as to what is going on.  They would rather train small children to stand in tight groups, blindfolded while holding activated light sabers while sending Anikan - the most promising Jedi ever who would bring balance to the Force - on some solo suicide mission.  These guys are NOT good mentors.
2) Padme and Anikan - the romance is painfully cringy to watch.  I felt really bad for Natalie Portman here.  It isn't just that Christensen can't act - and he cannot - but both of them are spoon fed the most horrendous dialogue of all time outside of, and possibly including, porn.  When Portman delivers the line about 'I truly love you', I was like, 'oh no, don't do it Patty Hearst'.  Again, there is nothing wrong with the outline - it is a valuable plot point that has to happen... but it could have been done in SO MUCH less ham-fisted of a manner.

Still, better than 'Last Jedi'."
"Jul 25, 2020",3,"I would have given at least one extra star if it wasn't for the creepy, awkward and painful Annika  in love storyline."
"Jul 23, 2020",0.5,🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😤😤😤😤😤😤😤😤😤😤 Garbage HATE HATE HATE
"Jul 22, 2020",2,"More boring and flat than Phantom Menace but has great action that fans can forgive it for.  Ewan McGregor also rises to the occasion, whilst Hayden Christensen is let down by the script."
"Jul 21, 2020",2,"To all the prequel apologists who say the sequel trilogy is the worst thing to happen to Star Wars, please, watch this movie again.  Just TRY to watch this again and tell me any other entry in the main saga didn't at least do SOMETHING better.  Okay look, I spent years hating this movie and building up that loathing, and watching it again…yeah, it's earned.  But there are things in it that are okay, and better than I remember.  Obi Wan's investigating is a little more interesting, even if it all feels like vague set up for the inevitable TV show.  Jango Fett is still cool, if not a little underutilized.  I'll even make a modest defense for some of Anakin's moments of turning, like the bit with the Tusken Raiders that's actually more well put together than I remember.  But overall, yeah, it's a mess.  It all feels like exposition and set up for future entries rather than its own thing, and it just makes the movie kind of boring.  When we do have action scenes, they're okay, but just okay.  Some of the action pieces actually feel like they go on forever.  Maybe they're making up for all the talking, but when stuff does go down, it's fun for a little while but gets boring fast.  And then there's Anakin and Padme.  God damn it do I hate Anakin and Padme!  Padme's actually a more competent character than I remember her being, and I like seeing her hold her own in the action set pieces.  That just makes it even more annoying when she falls head over heels for the angst king himself Anakin.  Hayden Christensen is not a good actor.  Even when I've seen him in good movies, he's awful, I don't like him.  A large chunk of this movie is just Anakin whining and complaining that things ""aren't fair"" in Christensen's dull monotone, and then aggressively cringey romantic scenes with him and Padme.  It's a tough sit for most of this movie.  There are glimmers of that Star Wars fun here and there.  Seeing a bunch of Jedi at the end is cool, the worlds are unique, and Ewan McGregor is always good.  But if I never see this one again, I'll be fine."
"Jul 20, 2020",2,When was Star Wars ever this obsessed with romance. Half the movie is Padme and Anakin getting married and running away. Then Anakin is a ball full of drama. Ahh... Revenge. Ahh... So Sad. It misses the key components that episodes 3-6 had.
"Jul 19, 2020",4,I love this movie. Great epic and very nice soundtrack. Clones!
