rating,text,visual_style
0.5,This review may contain spoilers. I can handle the truth. You can polish a turd (good actors + good setting) but at the end of the day it’s still a turd.  Top 2 worst movies I’ve ever seen and probably not #2.  This movie gave us a ScarJo dump out and I wouldn’t even watch this movie back to see that again. It’s that bad.  I want to throw up.,0
0.5,"Nope. Too boring for me and a script that goes nowhere. Yes i know the balance, colours, all that is there but......snooze time",1
0.5,"A parody of wes anderson, by wes anderson.",0
0.5,Sanat camiasının dog tooth’tan sonra gördüğü en büyük facia,9
0.5,Really don’t like this one I guess it looks nice but every character is boring and the story is emptier than my wallet after GameStop. Damn! I was really hoping for a humble hit but this is the new worst Wes Anderson movie by far.  I don’t even know what to say cuz did I watch a movie or just look at white people act like they’re acting like they’re acting I was the only person in the theater. Should’ve played to an empty room. I honestly think that’s what Wes Anderson wants at this point in his GameStop career,0
0.5,naw bruh,0
0.5,#ScorceseWasRight .,0
0.5,g dormi ct atrocement nul,9
0.5,Wtf,0
0.5,no se creo q no me gusta wes anderson :c,9
0.5,Sigh,0
0.5,boxd.it/4lGGFZ What he said 👆💅🏻,9
0.5,Forget watching this trash. Just reading the review was bad enough.,0
0.5,"This is the worst movie ive ever watched in my whole life, the story makes no sense and it leaves no desire of understanding, i rather watch a wall for two hours than to rewatch any of the scences of this movie. Absolutely awful.",0
0.5,nothing empty platitudes vapid aesthetics nothing wes anderson’s 8 1/2 1/2 star NADA PASSA NADAAAAAAAA,1
0.5,Erm...,0
0.5,Me and coop went to the Emagine only for the dude at the ticket booth to tell us it doesn’t come out until next week so for now it’s a half star,0
0.5,The most barren movie I’ve ever seen. I never started to write a review in the middle of the comets and I’ve never even thought about watching my phone instead of watching a movie at the cinema. Why? Because at least during a movie like FastX I could laughter at least because of the surrealism. I can honestly say that this movie is the first one that I absolutely regret watching and paying for it. This type of American humor…,0
0.5,Dette er ikke film.,9
0.5,"Kinderfilm die geen kind zou mogen zien, een vrije val van slechte smaak",9
0.5,tremendo mierdón,9
0.5,"I preferred Morbius. I preferred Ghosted. Fuck it, I even preferred Cats. I fell asleep.",0
0.5,Y’all loosing it,0
0.5,i don't think i'll ever like a wes anderson film.,0
0.5,Lol,0
0.5,Horrible... The big name stars can't even save this one...,0
0.5,genuinely confused,0
0.5,gotta be one of the worst movies i’ve ever seen.,0
0.5,Nah! If I knew it wasn’t good I would have enjoyed my nap more.,0
0.5,Half a star for Midtown Cinema’s popcorn! The worst part of a Wes Anderson film is the person watching with you  Left early. Jokes and their forced delivery seemed as dated as the aesthetic. I prefer actor driven vs director forced. At least “canceled” comedians had the wherewithal to jerk off into a ficus instead of subjecting the rest of us to this “fart”.,0
0.5,"Despite great acting performances, ""Asteroid City"" left me feeling disappointed. The film's characters show no emotions, which detracts from the story's potential impact. Although the plot initially seems straightforward, the film becomes disjointed and out of sync, making it challenging to comprehend. While the movie contains some humorous moments, these seem unintentional.",0
0.5,"When everyone’s autistic, no one will be.",0
0.5,"Walked out of the film. Perhaps, I'm not the intended audience. Great set work though!",1
0.5,"I can never tell whether Anderson is being intentionally self-indulgent, trying to make a statement, or is a true believer in the things his films say. End of the day I don't really care. They still end up feeling like well produced, highly detailed drivel to me.",0
0.5,Don’t waste your time. Worst movie of 2023.,0
0.5,At this point you pick Wes Anderson movies based on what colour you want to stare at for 2 hours.,1
0.5,Just down rating cuz Wes Anderson is racist 🤷🏿‍♂️,0
0.5,"Although it is frequently described as the ""most Wes Anderson"" of all his films, Asteroid City completely misses just what made Wes Anderson films so wonderful. It's not just that his style has become considerably more affected in his recent films, although it undeniably has, but rather that the heart that went into them seems to be gone. Rather than characters strange quirks serving as see-through masks covering the well-thought out, real complexities which lie below, as they did in…",0
0.5,I’m starting to believe people are pretending to like Wes Anderson movies… what a f*cking hack!,0
0.5,un navet couleur pastel,9
0.5,"Wes Anderson is boring. He depends so much on his little gimmicks that it gets him absolutely nowhere in life. This movie is reprocessed and nauseating, it’s a worse version of Nope. There were these 3 older ladies sitting next to me and they said it best, “this movie goes nowhere, what a piece of shit, all this talent wasted”. Anyone who regards Anderson as a competent director needs to be put on a watchlist.",0
0.5,Some movies just aren’t for everyone. This one was just too out there for me. Didn’t click. I get the overall vision but it didn’t hit with me.,0
0.5,I usually like Wes Anderson movies. This movie was torture beyond measure.,0
0.5,thank god i have cineworld unlimited and didnt waste my money to see this shit + thank god scarjo was in it bc i would have walked out within the first 2 minutes,0
0.5,This is the worst thing I’ve ever watched. Seriously considering walking out halfway through [Updated]  How tf did any of the cast agree to this? Most boring sh*tty thing ever  Walked out like 30 seconds after green goblin came on screen,0
0.5,"Ah, to be Wes Anderson and be able to hire some of the finest, most talented actors in the industry today — an opportunity most filmmakers dream of — and yet somehow manage to royally screw it up by making a pretentious, puzzling and complete shit show of a movie.",0
0.5,"Went into the theater without knowing anything about the movie, and I wish I never got to know it. Already was having a bad day and this made it worse. My wife had just left me, and I dropped my phone down the sewer. To make it worse, somebody stole my car, and my dog ran away. The Uber to the theater robbed me, but he kindly let me keep my ticket and made sure I made the movie in…",0
0.5,I’d rather be on that missing sub than see this again.,0
0.5,No vayáis de intelectuales diciendo que os ha gustado esta porquería infrahumana.,9
0.5,What in the indie wattapad,0
0.5,Wes Anderson only casts a specific skin tone and it’s gross.,0
0.5,"Aşırı kötü hiçbir şey anlatamiyor, 3 tane küçük kız çocuğu hepsinden daha iyi oynamış, scarlett hatırına yarım puan verdim yoksa sıfır yıldız amk. Wes anderson yakışmadı sana",9
0.5,allah senin belanı versin film gibi,9
1,a film that utilizes confectionary artifice and labored eccentricities to prove that wes anderson deserves to get shoved into a locker,1
1,"I wish I was at Cannes so I could’ve booed. There’s nothing to say about this hack anymore. It’s the same shtick every time, progressively getting less clever but more self congratulatory. The second I realized that this wasn’t going to be a cute alien movie and instead an overlong meta diatribe about Mr John Pierre Stevenson Knickerbocker The Third’s playwriting career I knew it was over.  No good performances. Any laughs are out of pitty. Just a barren, asinine…",0
1,"Lacks depth, dull, boring, uninteresting. Jokes feel forced, even cringed in some parts and was about to either fall asleep or leave the theater. The only good thing is Wes’s signature cinematography style, but it’s now on a level where it feels exaggerated and forced.  Style over substance. Would not recommend. The ending credits with the dancing roadrunner were amazing tho.",1
1,Wes Anderson movies are tumblr for autistic people,0
1,"A soft-penised quodlibet of banter, pith, quirky nomen, and absentee-auteur humor that would make DFW (the eminent mis-inspiration for much of this) kill himself again. Maya hawke, I got into a scuffle with your brother on the basketball court when I was much younger, if you forgive me I’d love to take you out for girlfriend summer",0
1,I need to stop tricking myself into thinking I’m going to like a Wes Anderson film.,0
1,"Asteroid City is a film composed of frames that I would love in isolation as screenshots. But it is also another Wes Anderson film that I found to have an uninteresting framing device; scene markers that feel less useful than ever; constant “now look over here” camera pans; jarring edits; and—by design—cold performances that have grown more distant than ever.  Aside from the jarring edits, these are all things I used to enjoy about his films when they were used…",1
1,NEVER WATCHING WES ANDERSON AGAIN 🗣️🗣️🔥🔥🔥,0
1,"Hollywood to Wes Anderson: “Welcome to the pop culture reference club, bro! Sick Looney Tunes and Mars Attacks references!” Me to Wes Anderson: “I wish Robert Altman was still alive to show you how it’s done.”",0
1,The equivalent to watching grass grow and paint dry all in one.,0
1,I think Wes Anderson gets so excited about hiring every actor on the planet and making the movie look pretty that he forgets how to make an actual film,1
1,"There’s no soul in this movie. His movies used to have those bittersweet endings with a melancholy that was felt throughout the movie. Now it’s just style and a big cast. I missed characters like Steve, Francis, Max, Richie, Margot and many more. It just made me sad that Wes is maybe not the filmmaker I knew.",0
1,he cant keep getting away with this,0
1,"Seriously, Can't this guy just jack off at home like everybody else?",0
1,certified wes anderson hater,0
1,"Go to YouTube. Search for a video called “10 Hours of Paint Drying.” Watch it. It’s less cinematic than Asteroid City, but it’s a spot-on experience otherwise. As a matter of fact, “10 Hours of Paint Drying” needs a spoiler warning for Asteroid City. And with that mediocre joke I end my review.",0
1,i’m not upper middle class enough for wes anderson humor,0
1,"Netter Jarvis Cocker-Song, süßer Außerirdischer und große Vorfreude auf ein ASTEROID CITY-Reboot von Paul W.S. Anderson.",0
1,"i’m a hater.  wes’ style is an acquired taste. i was really excited for this one because the aesthetic is everything i could hope for in a film but the spectacle and design will always lose out for me when it’s not backed up by some sort of narrative substance. i appreciate the deadpan nature but any sort of emotional or comedic payoff is dead on arrival when characters never behave like normal people.  not for me, but i can understand why others may like it",1
1,"All symmetry and colors, No cummable moments. 1 star",1
1,couple of things here-  1. Genuinely terrible. First time I walked out of a theater 2. Person in front of me was eating soup that smelled like farts,0
1,"The worst movie of Anderson's career, which, considering THE DARJEELING LIMITED and THE FRENCH DISPATCH, is really saying something. The most surprising thing is that it's the first Anderson movie that's ugly to look at--even his most twee and obnoxious movies had great visuals. My review is up at the Globe. I may have to go into the Witness Protection Program after this. www.bostonglobe.com/2023/06/21/arts/wes-andersons-asteroid-city-is-crashing-bore/",1
1,Fühle mich realtalk verarscht,9
1,Existential around the edges Mainly flat and uninspiring  What do you call a thing that has no soul,0
1,Ass-troid city,0
1,"Huh new Wes Anderson movie? SNOOOOOOOOOOOOOOOORRRRREEEEEE I will never understand why people like this guys shit, bro, what is their that is appealing about any of this? Is it the really badly delivered dialogue, it’s a very flat, and boring generic looking landscapes with colors on top of them to convince people “ooo this is cinema.” the stories have no resolution or arc. its just fucking filler nothingness so that way these big Hollywood actors all collect paychecks? I have…",1
1,"I like Wes Anderson but this truly felt like it was a parody of his work. There was something about it that felt like it was created using AI. I loved the opening title sequence, loved how it looked but that can only get you so far.",1
1,wes anderson einfach worst kind of theatre kid and it shows,0
1,"I think I hate Wes Anderson’s style. Completely obnoxious. All of the cast talk in the same fast quirky manner, it’s the same center shot for everything, and holy hell do something interesting with the camera.  I can only take so much of the same dolly and pans for camera movement.",1
1,I woulda rather slept through the movie than actually watching it,0
1,"Wes Anderson, wtf was that.....",0
1,"Ef þetta er réttnefnd froða, þá er þetta froða frá mjólkinni sem Wes Anderson sýgur frá eigin geirvörtum og flóar svo yfir eldahellunni, sem hann svo drekkur til að sofna vært. (Veit ekkert hvað þetta á að þýða)",9
1,This was incomprehensibly boring.,0
1,best character was the alien bc he wasn’t given the cringe dialogue disease,0
1,"Every time I tell myself I'm gonna like a Wes Anderson movie, he just has to be so...Wes Anderson.",0
1,"Nice score, and also what a cast!! But the film itself didn’t interest me",0
1,Una estrella por la hora de sueño que me regaló,9
1,Wes Anderson må faen meg legge opp,9
1,Stop pretending these are good. A completely empty film. Style over substance in the worst way.,0
1,not y’all pretending this was good 😵‍💫,0
1,"At this point, aren’t all Wes Anderson movies parodies of Wes Anderson movies? Like The French Dispatch and Isle of Dogs, I could not get into this at all.",0
1,"Too Many characters and plots at the same time without enough time for any of them, making an empty movie in the end. The plot was absurd, the characters didnt react to anything or show any emotions, all of them Were extremly boring. The scenes in black and white Were totally unnecesary, they didnt anything to the story and they were even more absurd than the main plot. A huge dissappointment in my opinion. Everything was confusing and without any fucking sense, with such a great cast and finally being able to see Scarlett Johansson in the movies… I left really angry with it",0
1,I walked out,0
1,finalmente he wes anderson’d way too close to the sun,0
1,Wes Anderson sucks,0
1,"Wes man chill out, everything is not a monologue! Shhhh!",0
1,Style and casting sadly doesn’t do so much when the characters and story is a boring mess.  Disappointed in Wes for this,0
1,Tag yourself! I’m Bryan Cranston disassociating halfway through the movie (boring!),0
1,worst movie of all time with cool cinematography,1
1,"Visually great, with the slowest story line and absolutely no character development. Half of the theater was asleep by half way through… 👎🏼",1
1,Been having trouble sleeping. No more after seeing this.,0
1,"Oh Wes, you’ve lost your way",0
1,So boring.,0
1,hollywoods biggest hack strikes again,0
1,"Wes Anderson should be put down for this U know how there’s art but some canvases with lines through them and no meaning or story is also considered art. Yeah… Edit: that was kinda harsh. Not a bad movie by any means. The colorful scenes were tolerable and even enjoyable at some parts. However, I think the plot line was made for Wes anderson’s own enjoyment only since it doesn’t relate to practically anyone else watching Tldr; interesting I guess? Not my thing",1
1,Cmon now,0
1,My favorite part about this movie and the nap I took. Oh and that bird that danced at the end.,0
1,Walked into this movie not knowing what it was about and surprisingly walked out feeling the same exact way… The only reason I’m giving it this high of a rating is because I really like the setting/atmosphere. Think there’s a deeper meaning to life built into this movie somewhere that I missed/don’t care about. Unfortunately they wasted a great cast here…,0
1,"Wes assaulting filmgoers with even more of his branded pastel-toned, pretentious garbage. Truly the writing of someone just drooling and flailing his arms on a c. 1950’s typewriter. Used to think his visual style was the worst thing about him but this time I realized it’s the best thing he’s got. every narrative decision and piece of dialogue is another cringeworthy moment.  It’s not funny once, and I honestly think whatever humor’s in it just derived from how pointless and dumb the whole thing is. Tom hanks gives the best performance in the movie.",1
1,"What…why…I’m done with attempting to watch Wes Anderson films because others seem to like them. I hated this, I didn’t laugh. This looks and feels exactly like all his movies so if you like them, you’ll get some enjoyment. I’m retiring from his films for the rest of my life. The 1 star is because like always, the cast is amazing.",0
1,Wished i was playing candy crush instead of watching this…. some cool shots but boring plot💔,1
1,aka Asteroid Shitty,0
1,"Du ""cinéma cosmétique"" dévitalisé.",9
1,"primera película que me veo de wes y la verdad es que salí del cine como mismo entré, no sé que decir por que la película, a mi, no me dijo nada, es muy bonita y ver a scarlett se disfruta pero realmente no tengo nada que decir, tal vez debería investigar un poco sobre el director o sobre la película para “entenderla” mejor pero bueno, eso, simplemente no me transmitió nada, me reí en varias ocasiones pero that’s it, supongo que no es mi tipo de película y ya",9
1,Why did Wes Anderson think we wanted to watch a bad play?,0
1,This review may contain spoilers. I can handle the truth. youtu.be/HIQqqtqdLNg,9
1,"I don't know if I was disappointed by this film or if this was the general level of mediocrity I was expecting. First, I would like to say that I'm not a Wes Anderson fan, and I think that, even though he found a very distinguishable colour palette and mise-en-scène, I reproach him not trying to experiment more in the last films. ""Asteroid City"" is no exception. It is one of his typical films, referencing and over-referencing pop culture, introducing…",1
1,"every time i watch a movie of his i think, “maybe this will be the one….” nope.",0
1,Worst movie of the year.,0
1,"Yeter baba, artık bir yarısı güzel filme de 1 veriyorum ( 10 üstünden hala 2, o da Wes in bendeki yeri farklı diye ) Taylan Arda Ezberci ile Karaca Sinemasında",9
1,"Self-indulgent, pseudo-intellectual, masturbatory, vacant",0
1,"İnsanların kültürel zevkleri elbette seneler içinde değişir. Kurulan ilişkilerin, öğrenilen bilgilerin, benimsenen yeni fikirlerin kişiyi şekillendirişinin en net yansımalarından biri de bence sinema ve müzikteki tercihlerle ortaya çıkar. Öyle ki, lisede büyülenmiş gözlerle izleyip büyük hayranlık duyduğum Wes Anderson sineması, artık öylesine sıkıcı ve parça pinçik olmaya müsait hissettiriyor ki The Royal Tenenbaums (ve belki The Darjeeling Limited) haricindeki herhangi bir işini hatırladıkça ya da yeni filmlerini gördükçe garip bir (hem kendimi hem de yönetmenin oeuvre'unu) ""tanıyamama"" hissine kapılıyorum. Eskiden…",9
1.5,"I used to enjoy Anderson, but with this, he’s reached his masturbatory self-parody phase.",0
1.5,this guy desperately needs a writer,0
1.5,L'impression d'avoir un HPI qui me parle pendant 1h45,9
1.5,Everything's connected but nothing works.,0
1.5,"I'm not totally sure what was going on here, but it seems to me that Wes Anderson-- a man who has spent the past decade on a quest to abandon the rich humanity of his early films in exchange for a parodic fixation on aesthetic and stylized whimsy-- is now trying to con us into believing there is truth in the nothingness. The core ""storyline"" of Asteroid City (the sequences set in the desert) is introduced to us as a…",1
1.5,"phony, shallow and nonsensical. Worse than that! UNFUNNY",0
1.5,Wes Anderson's „Hai-Alarm am Müggelsee“,9
1.5,"Despite a few good laughs and a reliably good style, Asteroid City completely falls apart due to its clumsy meta structure and emotionally empty attempts at being profound. I'm craving for Wes Anderson to win me back because I miss when his movies made me feel something. It's weird because this has a mixture of some moments that improve upon The French Dispatch, but far more of it is a wild regression into the elements that made that film so…",0
1.5,Pretentious ass movie,0
1.5,🙄🙄 Sitting through this slog fest was painful. I hope I never have to do it again.,0
1.5,i’m not pickin up whatever these white people are puttin down,0
1.5,"C- a boring & pretentious soulless mess where perfectly centered, dull characters deliver difficult words looking straight at the camera with a pale face. never gripping, rarely funny, technically still impressive. wes has lost me more and more with each one of his new films, and Asteroid City only continues that sorry trend.",1
1.5,"i love aliens. i have a possible alien encounter story, but that’s for another time. i was really engaged with the first third of this, but i’ve noticed wes anderson just goes further and further up his ass as his career goes along. long gone is the melancholy, existential ache, clever comedy, and engaging narratives of bottle rocket, rushmore, tenenbaums, and life aquatic. now, wes anderson movies are summed up with pretty colors, celebrity cameos, and stilted dialogue and performances;…",1
1.5,A nearly unwatchable ride through Wes Anderson's gimmick-theme-park. Substance is nowhere to be seen.,0
1.5,Maybe I'm just too stupid,0
1.5,Hey guys look a really pretty movie made to hide really bad writing!! Bruh the guy next to me fell asleep. No hate if you like these movies but not my cup of tea.,1
1.5,"A lot of the compositions just don't make any sense. When you need to do these gymnastics to make your story work maybe the story doesn't work on a basic level. It falls into this midwit weird shot = good shot philosophy that phonies like Peele, Lonthimos, Aster (as of Beau Is Afraid) and others believe in because they don't really know what art is they just know they want to do it and that must be enough. Anderson actually…",1
1.5,esta película me dejó con aburrimiento crónico nunca más sabré lo que es la diversión no volveré a reírme,9
1.5,"kompozycja szkatułkowa ok spoko, fantastyczni aktorzy i zdjęcia też super, ale sorry bez dobrego scenariusza i fabuły daleko sie nie zajedzie. męczący film i duże rozczarowanie :(",9
1.5,Little to no plot in this movie. I was really bored most the runtime. It just wasn’t for me,0
1.5,Des gens ont fait 14h de queue pour ce film à Cannes,9
1.5,"¿Por donde empiezo? 1. The “Non-Sense” bullshit genre Nunca me ha gustado ni en las artes visuales, el cine, la música ni la literatura. Entiendo por qué Lewis Carroll y Edward Lear son importantes, pero el resto se balancea entre lo poco profundo y lo pretencioso. Nunca me ha gustado y mucho menos cuando el sin-sentido se usa para decir “la vida no tiene sentido”. La premisa en sí tiene mucho que decir (hablar de religión, muerte, conocimiento…) pero juguetear…",9
1.5,dogville if it sucked ass,0
1.5,"This review may contain spoilers. I can handle the truth. the coloring was oversaturated but not as oversaturated as wes anderson’s style itself. his movies get more and more bland as he buries his own movies into the ground. (just like how they buried the mom) ITS TIRED WES  also margot robbie carried  also i am once again pointing out how wes anderson sexualizes women in his films. it’s not quirky film making, it is wrong.",1
1.5,"I didnt like this one bit. (Okay there was a few cute things — balcony scene, etc.) The glamorous picturesque shots are destroyed with a lack of storytelling… The themes and messages are half baked in cheesy dialogue after a messy sequence. Feel like sometimes Wes does things so people acknowledge him rather than the story itself",0
1.5,Good images. Terrible to watch,1
1.5,I’m so over this guy,0
1.5,"Wes Anderson movies are pretty stinky. Sure they're pretty, but definitely stinky. Not for me. (Though I will say the 3 girls and the alien took me out and I would maybe just watch those scenes again)",1
1.5,"I don’t like this. All the actors are great but Anderson his typical fast pace with unnatural movements make my mind go muddled and rushed. It feels like his making a parody of himself. I miss the time of The Royal Tenenbaums where his distinct design style was balanced with a beautiful story with interesting details. Now he tries to use his hasty neurotic traits to mask an overly thin, vague and uninteresting story with to many characters and a minimal effort to feel empathy with any of them. Because of this, his unique cinematography never really comes into its own.",0
1.5,no entendí nada 👍,9
1.5,Wes Anderson’s The Day the Earth Stood Still. Does that sound annoying? Well it was.,0
1.5,Ughhhhhhhhhhh,0
1.5,"I took a little break from watching films, and now I think I'll only like films that I actually like. P.s. asteroid shitty",0
1.5,Somebody stop Wed Anderson or he’s gonna throw these postcard movies at us indefinitely,0
1.5,"""ASTEROID CITY ist so prallvoll mit (Abziehbild-)Figuren, die kaum je mehr charakterisiert sind als durch eine Eigenschaft (zumeist der Beruf) und einen Gesichtsausdruck, dass man schnell den Überblick verliert. Immerhin: Für das zumindest oberflächliche Verständnis des Films ist das nicht von Belang und viel mehr als die Oberfläche gibt es bei dieser Ansammlung von Pastiches auch nicht zu verstehen. Im Grunde gleichen alle Filme von Wes Anderson bewegten Wimmelbildern, deren Gleichzeitigkeit von Figuren und Geschichten in eine zeitliche Linearität gezwängt…",9
1.5,"pretencious, boring, confusing, wasting so many A-list actors by playing uninteresting characters, and overall the only good thing about this movie is the production design. but even the bright colorful set was toned down halfway through the movie makes it a painful movie to watch.",1
1.5,"I love Wes Anderson movies. I love the layers of style, quirk and formality wrapped around an emotional center. But this one is just the layers. They are beautiful and finely crafted, but it’s all set up and no pay off. The characters are kept so distant from the viewer, by the film’s design, their own fears, the 1950s, the script’s recursion, that none of it mattered to me. There were surprises and delights, but at the intended climax of the dramatic arc, when I was clearly supposed to feel something, I was left staring blankly at the screen.",1
1.5,"Yeah it's been decided, Wes Anderson movies are not for me.",0
1.5,madi: pretty to look at but unsure what i really watched... tom: same ^ *note that both tom and madi fell asleep at different points of the movie,0
1.5,Wet Anderson,0
1.5,meep meep,0
1.5,A big whopping plate of word salad. Made zero sense. Every character is the same and gives the same monotone line delivery. If every actor in this movie wasn’t an ultra famous super star no one would give a shit about it. Had some funny moments and pretty pictures; but overall I was bored out of my mind and honestly confused.,1
1.5,At one point a character says “I feel nothing” and that’s how this movie makes me feel!,0
1.5,vaya puta mierda (de guión),9
1.5,Als iedereen in de zaal gewoon even eerlijk naar zichzelf is en diep in zijn of haar hart kijkt. Dan moeten we volgens mij tot de gezamenlijke conclusie komen dat hier toch geen touw aan vast te knopen was. De anderhalve ster is voor de roadrunner.,9
1.5,Almost hits Lars Von Trier levels of pretentious (not quite),0
1.5,ASSteroid City,0
1.5,ASTEROID CITY: a charming ‘50s sci-fi Americana setting with a predictably brilliant art direction but where’s the script? It all feels so anaemic and aimless. The great ensemble cast is given nothing to do apart from Jason Schwartzman. A crushing disappointment #Cannes2023,0
1.5,"Staight up whack. Cool setting and imaginery of course, but as a whole movie it’s an absolute no-go.",1
1.5,Gran cinematografía. Gran casting. Pésimo guion.,9
1.5,A script as insufferable as the production design is flawless. Full sentences are spoken where it might as well be people reading the ingredients of dog food for all the sense it is making.  Bring back the Wes Anderson of Moonrise Kingdom and The Grand Budapest Hotel!,0
1.5,Drunkenly saw a matinee with Theo. Wasn’t too hopeful or excited and don’t really remember a single plot point. I probably should stop going to these. Didnt like Hemorrhoid Shitty. An empty vessel to hold famous actors trying out mustaches and Wes’s PDA with a dolly track.,1
1.5,"Reparto de guapos, historia fea",9
1.5,"Müll. Schön anzusehender Müll, aber Müll.",9
1.5,"I do not like Wes Anderson 👎 Only one minute of this movie I enjoyed. It was reminiscent of fantastic mr fox 👽🦊 fantastic mr alien, if u will For the record, a quarter of the theater was asleep. I counted",0
1.5,mucha estética poca historia,9
1.5,?????????? Half a star for the alien looking funky,0
1.5,Yeah I'll be honest this movie was not for me lmao yeah it was pretty (I guess) but so vapid and boring- full of nothing but celebrity cameos every 2 seconds. I'm sure there is an audience for this movie but I am not apart of it 😔,1
1.5,don't watch Asteroid city unless you want to feel nothing and just watch a guy making a film of familiar puppets standing around speaking in wordy lists and slightly awkward jokes that are done so quickly you cant laugh before the limited percussive soundtrack cuts away to silence and people eating or coughing or i dont know; for an hour and fourty minutes,0
1.5,"i did not care for the black and white sequences/the title cards every six minutes/the “movie about a tv show about a reenactment of a play intertwined with the play itself(?)” aspect of this. too far up its own ass(teroid city, i regret nothing). it felt like watching several movies at once, each of them just okay. not for me, i guess!",0
1.5,this shit boring,0
1.5,"Horrendous drivel. What a waste of a rock solid cast. Fell asleep twice, torturous",0
1.5,Over-used style. Shit gift w great wrapping zero substance to the story,0
1.5,pretty colors & aesthetic aside .. i was bored i’m ngl ! wish we got more of the alien 👽,1
1.5,"An over saturated and painfully pretentious film that focuses more on Wes Anderson’s style of directing than actually telling an engaging story. This was so incredibly boring, not even its cast of A-list celebrities could save this snooze fest",1
1.5,Looked cool but movie sucked,0
1.5,This is Wes Anderson’s Tenet,0
1.5,I think… there was a plot?.. Maybe?.. really not sure…,0
1.5,"Kinda boring, with slow pacing and little tension/stakes, even the movie references falling asleep at one point",0
1.5,"De la branlette intellectuelle, un fantasme de cinéma qui ne fait bander plus personne. Le jour où Wes Anderson sera moins conceptuel et fera des films qui racontent et délivrent un propos ce sera peut-être quelque chose d'intéressant",9
1.5,"I might make a career out of being a Wes Anderson hater. So so so bad. Half star because of the road runner, the little girls were funny, and Margot Robbie/Maya Hawke 🫡",0
1.5,It's hard for me to see more than a pile of plotless nonsense here. The script is just a random pile of unlinked ideas put together and the humor is weird as hell,0
2,This is not cinema. It’s design.,1
2,"It was funny when they chanted ""you can't wake up if you don't fall asleep"" because the man next to me was snoring throughout the screening.",0
2,"Tam 'Wes Anderson gitmiş Looney Tunes seti yapmış film çekiyor' diye düşünürken birden perdede Road Runner bile gözüktü. Öyle söyleyeyim. İzlediğim en kötü Wes Anderson filmlerinden biriydi. Birkaç parlak ve yıldız sahne, büyüleyici ve obsesif görselliği hatrına bu puanı veriyorum. Bir film için bunu söylemek asla hoşuma gitmiyor hele hele Wes Anderson için ama bomboş film be aga.",9
